,C2,C3,mc,Y,FIE,mc21,flip
Indonesia,0.5833,0.8751,0.7292,0.0708,0.628,0.7486,0.0
Thailand,0.8333,0.9363,0.8848,0.0092,0.681,0.8625,0.023
Viet Nam,0.6806,0.9621,0.8213,0.0,0.735,0.8233,0.0
Philippines,0.4722,0.8587,0.6655,0.1809,0.666,0.7325,0.747
Bangladesh,0.3333,0.8494,0.5914,0.211,0.672,0.6112,0.215
Cambodia,0.4722,0.8565,0.6644,0.081,0.601,0.6165,0.511
Nepal,0.4306,0.8973,0.6639,0.0332,0.611,0.6724,0.512
Pakistan,0.1528,0.791,0.4719,0.2192,0.7,0.4871,0.0
Lao PDR,0.3194,0.8247,0.5721,0.0753,0.577,0.5958,0.0
