iso,code,v_2021,v_latest,year_latest,indicator,tag,economy
LAO,IT.NET.SECR.P6,82.246618027117,301.680129228236,2024.0,A6_secure_servers_p1m,X,Lao PDR
LAO,IT.NET.USER.ZS,62.0,65.59269714,2024.0,A1_internet_use_pct,X,Lao PDR
LAO,NY.GNP.PCAP.CD,2500.0,2000.0,2024.0,D1_gni_pc_atlas,scale,Lao PDR
LAO,SE.ADT.LITR.ZS,,75.6399993896484,2023.0,D5_adult_literacy_pct,X,Lao PDR
LAO,SL.TLF.CACT.ZS,64.618,65.989,2024.0,D3_labor_participation_pct,X,Lao PDR
LAO,SP.URB.TOTL.IN.ZS,37.338778268357,39.5552154401406,2024.0,D2_urban_pct,X,Lao PDR
NPL,FB.ATM.TOTL.P5,20.7724209106283,24.4704593538272,2024.0,B8_atm_p100k,X,Nepal
NPL,FB.CBK.BRCH.P5,22.8280500782003,23.8248878284133,2024.0,B7_bank_branches_p100k,X,Nepal
NPL,FS.AST.PRVT.GD.ZS,103.651351375401,91.2933728348585,2024.0,D4_domestic_credit_priv_gdp,X,Nepal
NPL,IT.CEL.SETS.P2,129.645418271275,99.8471420273964,2024.0,A2_mobile_subs_p100,X,Nepal
NPL,IT.NET.BBND.P2,4.30873475530627,10.0656152054494,2024.0,A3_fixed_bbnd_p100,X,Nepal
NPL,IT.NET.SECR.P6,269.787864363744,541.228652445205,2024.0,A6_secure_servers_p1m,X,Nepal
NPL,IT.NET.USER.ZS,40.98910141,46.32189941,2024.0,A1_internet_use_pct,X,Nepal
NPL,NY.GNP.PCAP.CD,1250.0,1480.0,2024.0,D1_gni_pc_atlas,scale,Nepal
NPL,SL.TLF.CACT.ZS,39.513,39.313,2024.0,D3_labor_participation_pct,X,Nepal
NPL,SP.URB.TOTL.IN.ZS,66.144235274522,66.772343163029,2024.0,D2_urban_pct,X,Nepal
PAK,FB.ATM.TOTL.P5,11.1789491442581,12.0522028967929,2024.0,B8_atm_p100k,X,Pakistan
PAK,FB.CBK.BRCH.P5,10.2208873108403,11.150833388396,2024.0,B7_bank_branches_p100k,X,Pakistan
PAK,FS.AST.PRVT.GD.ZS,15.3401397751102,11.46061956354,2024.0,D4_domestic_credit_priv_gdp,X,Pakistan
PAK,IT.CEL.SETS.P2,78.8012296805749,76.8544559649986,2024.0,A2_mobile_subs_p100,X,Pakistan
PAK,IT.NET.BBND.P2,1.23144065449307,1.46559368502535,2024.0,A3_fixed_bbnd_p100,X,Pakistan
PAK,IT.NET.SECR.P6,65.7388698838102,109.651337877655,2024.0,A6_secure_servers_p1m,X,Pakistan
PAK,IT.NET.USER.ZS,,57.253,2024.0,A1_internet_use_pct,X,Pakistan
PAK,NY.GNP.PCAP.CD,1420.0,1430.0,2024.0,D1_gni_pc_atlas,scale,Pakistan
PAK,SE.ADT.LITR.ZS,58.8600006103516,58.8600006103516,2021.0,D5_adult_literacy_pct,X,Pakistan
PAK,SL.TLF.CACT.ZS,52.73,52.308,2024.0,D3_labor_participation_pct,X,Pakistan
PAK,SP.URB.TOTL.IN.ZS,37.9333395514173,39.1734368360905,2024.0,D2_urban_pct,X,Pakistan
