economy,A1_internet_use_pct,A2_mobile_subs_p100,A3_fixed_bbnd_p100,A6_secure_servers_p1m,B7_bank_branches_p100k,B8_atm_p100k,D1_gni_pc_atlas,D2_urban_pct,D3_labor_participation_pct,D4_domestic_credit_priv_gdp,D5_adult_literacy_pct
"Korea, Rep.",97.89563777,172.520241179065,47.8014965507867,11902.38307173,12.3936010645014,244.469292769745,36750.0,81.1682528469686,64.465,160.347182678236,
Indonesia,72.78075544,122.514946500491,4.92196685438436,2939.49021766292,11.2296187378829,45.6370507881167,4920.0,58.7509635387997,67.927,36.3924067095141,
Thailand,90.86718789,160.639312286761,14.8870491187484,3149.99672587537,8.01998751107904,93.0302183963717,7130.0,61.8689338391321,67.129,146.295079842162,91.0999984741211
Viet Nam,84.15,127.606471743496,23.711259212336,5733.7485681175,3.09669381955115,27.2434250522194,4490.0,38.4900703430176,73.134,124.961478822546,96.129997253418
Philippines,67.26300914,115.298749599352,7.13893301204977,131.556605552984,8.08637788193146,27.8445692139854,4470.0,55.4520983215477,61.402,49.8449977717705,
Bangladesh,53.42171316,108.077037369691,8.08931134401926,527.061270034326,9.13956167484712,15.8652165324821,2820.0,32.6783196323307,58.903,35.8111715787963,79.0
Cambodia,68.47530365,116.091961125929,4.14566160137529,817.289111657873,14.0830887702144,47.6111762552663,2550.0,40.8727033252729,82.373,124.659765749466,71.9300003051758
Nepal,46.32189941,99.8471420273964,10.0656152054494,541.228652445205,23.8248878284133,24.4704593538272,1480.0,66.772343163029,39.313,91.2933728348585,
Pakistan,57.253,76.8544559649986,1.46559368502535,109.651337877655,11.150833388396,12.0522028967929,1430.0,39.1734368360905,52.308,11.46061956354,58.8600006103516
Lao PDR,65.59269714,64.7588066942788,2.72021122524182,301.680129228236,3.02390154471585,28.3029809215782,2000.0,39.5552154401406,65.989,,75.6399993896484
