,C2,C3
Indonesia,0.5972,0.7737
Thailand,0.7083,0.8407
Viet Nam,0.5833,0.7747
Philippines,0.4931,0.7085
Bangladesh,0.4236,0.6959
Cambodia,0.4306,0.7102
Nepal,0.4792,0.7142
Pakistan,0.2963,0.5892
Lao PDR,0.3958,0.7099
