,C2,C3,Y
Indonesia,0.5694,0.7774,0.0708
Thailand,0.7153,0.8371,0.0092
Viet Nam,0.5833,0.7852,0.0
Philippines,0.4236,0.7063,0.1809
Bangladesh,0.3958,0.7164,0.211
Cambodia,0.4722,0.7347,0.081
Nepal,0.4514,0.7233,0.0332
Pakistan,0.2569,0.6254,0.2192
Lao PDR,0.3681,0.7188,0.0753
